Card name,Official URL ,Card Issuer,Status,,,,,,,,,,,,,,,,,,,,,,
,,issuer (enum),status,"network (enum: Visa, Mastercard, Rupay, Amex etc)",is_lifetime_free (bool),annual_fee (numeric),"fee_waiver_spend_threshold (numeric, optional)",is_upi_enabled (bool),is_cashback_primary (bool),is_rewards_points_primary (bool),has_dining_benefit (bool),has_travel_benefit (bool),has_fuel_benefit (bool),has_online_shopping_benefit (bool),has_entertainment_benefit (bool),has_groceries_benefit (bool),has_domestic_lounge (bool),has_international_lounge (bool),"co_brand_name (text, for display)","co_brand_type (enum: ecommerce, airline, hotel, food delivery etc)",cashback_generic_rate,cashback_top_category_rate,rewards_generic_multiplier,rewards_top_category_multiplier,(Available/Discontinued/Questionable) 
ACE Credit Card,https://www.yes.bank.in/personal-banking/yes-individual/cards/credit-cards/ace-credit-card,YES Bank,Active,,,,,,,,,,,,,,,,,,,,,,
ANQ Phi Credit Card,https://www.yes.bank.in/personal-banking/yes-individual/cards/credit-cards/anq-phi-credit-card,YES Bank,Discontinued,,,,,,,,,,,,,,,,,,,,,,
BYOC Credit Card,https://www.yes.bank.in/personal-banking/yes-individual/cards/credit-cards/byoc-credit-card,YES Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Elite+ Credit Card,https://www.yes.bank.in/personal-banking/yes-individual/cards/credit-cards/elite-plus-credit-card,YES Bank,Active,,,,,,,,,,,,,,,,,,,,,,
EMI Credit Card,https://www.yes.bank.in/personal-banking/yes-individual/cards/credit-cards/emi-credit-card,YES Bank,Active,,,,,,,,,,,,,,,,,,,,,,
FinBooster Credit Card,https://www.yes.bank.in/personal-banking/yes-individual/cards/credit-cards/finbooster-card,YES Bank,Active,,,,,,,,,,,,,,,,,,,,,,
FinBooster RuPay Credit Card,https://www.yes.bank.in/personal-banking/yes-individual/cards/credit-cards/finbooster-rupay-credit-card,YES Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Klick Credit Card,https://www.yes.bank.in/personal-banking/yes-individual/cards/credit-cards/klick-credit-card,YES Bank,Active,,,,,,,,,,,,,,,,,,,,,,
MARQUEE Credit Card,https://www.yes.bank.in/personal-banking/yes-individual/cards/credit-cards/marquee-credit-card,YES Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Paisabazaar PaisaSave Credit Card,https://www.yes.bank.in/personal-banking/yes-individual/cards/credit-cards/paisabazaar-credit-card,YES Bank,Active,,,,,,,,,,,,,,,,,,,,,,
